;Purchase;Organisation;Price;Date
1254;Выполнение работ по ремонту систем вентиляции и кондиционирования;"ПАО ""ИРКУТСКЭНЕРГО""";990195;17.09.2019
1255;Выполнение работ по ремонту подкрановых путей мостовых кранов котельного отделения;"ПАО ""ИРКУТСКЭНЕРГО""";1102703;16.09.2019
1256;Выполнение работ по ремонту помещений административной части – Здание дробильного корпуса;"ПАО ""ИРКУТСКЭНЕРГО""";785328;28.09.2019
1257;Огнезащитная обработка металлоконструкций(здания, сооружение гаража);"ПАО ""ИРКУТСКЭНЕРГО""";752243;02.09.2019
1258;Пылеподавление пляжей золоотвала;"ПАО ""ИРКУТСКЭНЕРГО""";1040900;10.10.2019
1259;Ремонт участка автомобильной дороги общего пользования от КПП НИТЭЦ до пересечения с ул. Академика Герасимова м/н Луговое;"ПАО ""ИРКУТСКЭНЕРГО""";551346;17.09.2019
1260;Выполнение работ по ремонту ограждающих конструкций зданий РВК У-ИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";470616;01.10.2019
1261;Оказание услуг по уборке от снега территории и зданий;"ПАО ""ИРКУТСКЭНЕРГО""";425998;07.10.2019
1262;Ремонт головного сооружения и сбросного канала;"ПАО ""ИРКУТСКЭНЕРГО""";525311;01.10.2019
1263;Выполнение работ по ремонту полов наклонной галереи, ремонт гидроизоляции полов ЛК-2,3;"ПАО ""ИРКУТСКЭНЕРГО""";524385;27.08.2019
1264;Аренда нежилых помещений для размещения МОДВ атомной энергетики и промышленности;"Государственная корпорация по атомной энергии ""Росатом""";;10.09.2019
1265;Оказание услуг по участию в проведении Школы России и МАГАТЭ по менеджменту в области ядерной энергии для молодых специалистов с выступлением по теме: «Изменение климата и ядерная энергетика»;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ТЕХНИЧЕСКАЯ АКАДЕМИЯ РОСАТОМА""";;23.08.2019
1266;Оказание информационно-консультационных и организационных услуг, а именно услуг по организации и проведению второй части III отраслевого форума-диалога «День безопасности атомной энергетики и промышленности»;"Государственная корпорация по атомной энергии ""Росатом""";;16.09.2019
1267;Оказание услуг по организации и проведению культурно-массового мероприятия в г. Удомля, посвященного дню энергетика и дню образования АО «Атомтехэнерго», для нужд Калининского филиала «Калининатомтехэнерго» АО «Атомтехэнерго»»;"АКЦИОНЕРНОЕ ОБЩЕСТВО ПО НАЛАДКЕ, СОВЕРШЕНСТВОВАНИЮ ЭКСПЛУАТАЦИИ И ОРГАНИЗАЦИИ УПРАВЛЕНИЯ АТОМНЫХ СТАНЦИЙ ""АТОМТЕХЭНЕРГО""";;30.09.2019
1268;Оказание информационно-консультационных услуг по разработке сценария, проведению мероприятия в качестве ведущего в рамках второй части III отраслевого форума-диалога «День безопасности атомной энергетики и промышленности»;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ТЕХНИЧЕСКАЯ АКАДЕМИЯ РОСАТОМА""";;30.09.2019
1269;Оказание услуг по мониторингу федеральных, региональных и сосновоборских СМИ на темы, касающиеся деятельности Ленинградской АЭС, развития атомной энергетики, значимых тем в г. Сосновый Бор, Ленинградской области и Северо-Западном регионе в 2020 году;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Ленинградская атомная станция""";;18.09.2019
1270;Техническое обслуживание объектов газораспределения и газопотребления СП «Энергетик»;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""";;26.09.2019
1271;Оказание услуг по организации и проведению заседания для участников второй части III отраслевого форума-диалога «День безопасности атомной энергетики и промышленности» для Санкт-Петербургского филиала АНО ДПО «Техническая академия Росатома»;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ТЕХНИЧЕСКАЯ АКАДЕМИЯ РОСАТОМА""";;07.10.2019
1272;Оказание услуг по проведению рекламно-имиджевых мероприятий, посвященных деятельности филиала «Концерн Росэнергоатом» «Калининская атомная станция», создание в регионе расположения КлнАЭС устойчивого положительного мнения о социальной и экономической приемлемости КАЭС и атомной энергетики в целом;"Акционерное общество ""Концерн Роснергоатом"" филиал ""Калининская атомная станция""";;25.09.2019
1273;Оказание услуг по организации питания участников мероприятий, проживающих в санатории-профилактории «Энергетик»;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""";;26.08.2019
1274;Выполнение неразрушающего контроля основного металла и сварных соединений в рамках проведения эксплуатационного контроля и технического освидетельствования оборудования и трубопроводов, подконтрольных ФНП в атомной энергетике и лабораторных исследований металла компенсаторов;"Филиал Акционерного общества ""Концерн Росэнергоатом"" ""Опытно-демонстрационный инженерный центр по выводу из эксплуатации""";;24.09.2019
1275;Выполнение работ по ремонту системы автоматической пожарно-охранной сигнализации, системы оповещения о пожаре в санатории-профилактории «Энергетик»;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""";;26.09.2019
1276;Выполнение работ по ремонту системы автоматической пожарно-охранной сигнализации, системы оповещения о пожаре в санатории-профилактории «Энергетик»;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""";;12.09.2019
1277;Услуги по организации и проведению культурных мероприятий для работников Филиала АО «ОТЭК» в г. Новоуральске и их детей;"Акционерное общество ""Объединенная теплоэнергетическая компания""";;02.09.2019
1278;«Анализ конкурентного ландшафта по новым направлениям атомной энергетики и разработка информационно-образовательной программы «Азиатский вектор - развитие технологий»;"Акционерное общество ""ПРОРЫВ""";31474757;16.10.2019
1279;Организация питания для работников филиала ТЭЦ-10;"ПАО ""ИРКУТСКЭНЕРГО""";12330000;28.08.2019
1280;Организация услуг льготного питания для персонала Ново-Зиминской ТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";7468000;28.08.2019
1281;Оказание услуг по уборке производственных, служебно-бытовых помещений;"ПАО ""ИРКУТСКЭНЕРГО""";5385502;07.10.2019
1282;Выполнение работ по ремонту плит перекрытий, стен, металлоконструкций зданий.;"ПАО ""ИРКУТСКЭНЕРГО""";3264505;27.08.2019
1283;Организация общественного питания для работников филиала ТЭЦ-16;"ПАО ""ИРКУТСКЭНЕРГО""";4500000;28.08.2019
1284;Выполнение работ по ремонту зданий и сооружений ТЭЦ-12;"ПАО ""ИРКУТСКЭНЕРГО""";2395113;26.08.2019
1285;Выполнение работ по устройству откосов настроительных контрукциях в помещении ЛК-1-12. Огнезащита;"ПАО ""ИРКУТСКЭНЕРГО""";2268595;21.08.2019
1286;АКЗ металлических балок ГК Ремонт ж/б колонн ГК Ремонт плит перекрытий ГК Ремонт стеновых панелей, межпанельных швов и кирпичной кладки внешних стен Ремонт ж/б балок ГК;"ПАО ""ИРКУТСКЭНЕРГО""";2266328;09.10.2019
1287;Выполнение работ по ремонту облицовки сбросного и подводящего каналов. Отсыпка грунтом пляжей золоотвала;"ПАО ""ИРКУТСКЭНЕРГО""";1523813;04.09.2019
1288;Выполнение работ по ремонту здания вагоноопрокидывателя Н-И ТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";1216406;23.09.2019
1289;Ремонт постовых помещений;"ПАО ""ИРКУТСКЭНЕРГО""";960502;07.10.2019
1290;Выполнение работ по ремонту систем вентиляции и кондиционирования;"ПАО ""ИРКУТСКЭНЕРГО""";990195;17.09.2019
1291;Выполнение работ по ремонту помещений административной части – Здание дробильного корпуса;"ПАО ""ИРКУТСКЭНЕРГО""";785328;28.09.2019
1292;Выполнение работ по ремонту и покраске фасадов зданий, водородных рессиверов;"ПАО ""ИРКУТСКЭНЕРГО""";660615;12.09.2019
1293;Огнезащитная обработка металлоконструкций(здания, сооружение гаража);"ПАО ""ИРКУТСКЭНЕРГО""";752243;02.09.2019
1294;Выполнение работ по ремонту помещений;"ПАО ""ИРКУТСКЭНЕРГО""";1107144;08.09.2019
1295;Ремонт помещений СОК на территории Н-И ТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";499479;09.09.2019
1296;Ремонт участка автомобильной дороги общего пользования от КПП НИТЭЦ до пересечения с ул. Академика Герасимова м/н Луговое;"ПАО ""ИРКУТСКЭНЕРГО""";551346;17.09.2019
1297;Выполнение работ по ремонту ограждающих конструкций зданий РВК У-ИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";470616;01.10.2019
1298;Выполнить строительно-монтажные работы по объекту филиала ПАО «Иркутскэнерго» Ново-Зиминская ТЭЦ: Сухое складирование золошлаковых смесей на секциях № 1 и № 2 золошлакоотвала Н-ЗТЭЦ (со строительством ограждающих валиков), 2 этап.;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";42997417;30.10.2019
1299;Выполнение работ по ремонту ограждающих конструкций в котельном цехе на филиале ТЭЦ-11 в г. Усолье-Сибирское;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";19988414;13.11.2019
1300;Восстановление работоспособного состояния ограждающих конструкций главного корпуса в осях В/1-20 в отм.+24,370 ÷ 39,600м;"ПАО ""ИРКУТСКЭНЕРГО""";19988414;16.10.2019
1301;Выполнить строительно-монтажные работы по объекту филиала ПАО «Иркутскэнерго» Ново-Зиминская ТЭЦ: Сухое складирование золошлаковых смесей на секциях № 1 и № 2 золошлакоотвала Н-ЗТЭЦ (со строительством ограждающих валиков), 1 этап.;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";12579874;30.10.2019
1302;"НИОКР по теме ""Атомистическое моделирование механических и теплофизических свойств и создание библиографической базы данных по термодинамическим свойствам для материалов атомной энергетики""";"Акционерное общество ""Государственный научный центр Российской Федерации Троицкий институт инновационных и термоядерных исследований""";25000000;05.12.2019
1303;"выполнение НИОКР по теме ""Создание широкодиапазонных моделей теплофизических свойств и компьютерных кодов материалов атомной и термоядерной энергетики""";"Акционерное общество ""Государственный научный центр Российской Федерации Троицкий институт инновационных и термоядерных исследований""";21000000;05.12.2019
1304;Выполнение работ по техобслуживанию зданий и сооружений на филиале ТЭЦ -11 в г. Усолье-Сибирское;"ПАО ""ИРКУТСКЭНЕРГО""";9000000;15.11.2019
1305;Оказание услуг по обслуживанию и уборке служебных и производственных помещений, территории Ново-Зиминской ТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";7752679;06.12.2019
1306;Оказание услуг по уборке производственных, административных и бытовых помещений У-ИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";8317027;29.11.2019
1307;Лот №2 Выполнение непредвиденных ремонтно-строительных работы, выявленных при ремонте на электротехническом и тепломеханическом оборудовании;"ПАО ""ИРКУТСКЭНЕРГО""";5000000;08.11.2019
1308;Аварийный ремонт участков тепловых сетей, устранение дефектов,выполнение шурфов в период 10.03.2020 по 28.12.2020 в г.Иркутске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";8000000;20.12.2019
1309;Организация льготного питания для работников ТЭЦ-12;"ПАО ""ИРКУТСКЭНЕРГО""";5568000;25.10.2019
1310;Услуги по подписке и доставке периодических изданий (газет и журналов) на материальном носителе и в электронном виде;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";5416322;13.10.2020
1311;Выполнение работ по техническому обслуживанию зданий и сооружений на филиале У-ИТЭЦ в г. Усть-Илимске;"ПАО ""ИРКУТСКЭНЕРГО""";3979711;29.11.2019
1312;Организация услуг льготного питания под ведомость для персонала Усть-Илимской ТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";3600000;25.10.2019
1313;Услуги по подписке и доставке периодических изданий (газет и журналов) на материальном носителе и в электронном виде;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";5416322;13.11.2019
1314;Выполнение непредвиденных работ и устранение дефектов на оборудовании химического цеха на филиале ТЭЦ-9 в г.Ангарске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";3300000;16.12.2019
1315;Лот №1 Выполнение непредвиденных ремонтно-строительных работ, выявленных при ремонте электротехнического и тепломеханического оборудования на филиале ТЭЦ-6 ТИиТС в г. Братске;"ПАО ""ИРКУТСКЭНЕРГО""";4150000;08.11.2019
1316;Выполнение работ по техническому обслуживанию зданий и сооружений на филиале НЗТЭЦ в г. Саянске;"ПАО ""ИРКУТСКЭНЕРГО""";4500000;22.11.2019
1317;Услуги по зачистке порожних вагонов на ж/д путях Ново-Зиминской ТЭЦ и уборке просыпей угля;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";1451800;17.12.2019
1318;Услуги по обслуживанию тепловозов ТЭЦ-9 -3ед.;"ПАО ""ИРКУТСКЭНЕРГО""";3708769;10.12.2019
1319;Проведение осмотров трубоповодов в шурфе с восстановлением работоспособности оборудования в г.Иркутске в 2020 году;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";3000000;20.12.2019
1320;Оказание услуг по уборке территории У-ИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";1034463;29.11.2019
1321;Выполнение строительно-монтажных и пусконаладочных работ по объекту: «Насосно-перекачивающая станция №5А (инв. № 3010026). Техническое перевооружение. Установ-ка ЧРП»;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";2481305;30.10.2019
1322;Выполнение работ по техническому обслуживанию зданий и сооружений ТВСК на филиале У-ИТЭЦ в г.Усть-Илимске в 2020 г.;"ПАО ""ИРКУТСКЭНЕРГО""";1900985;04.12.2019
1323;Выполнение непредвиденных работ и устранение дефектов на оборудовании химического цеха на участке №1 филиала ТЭЦ-9 в г.Ангарске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";1000000;16.12.2019
1324;Оказание услуг по сервисному обслуживанию (в том числе диагностике, замене сенсоров, предповерочной подготовке и поверке) газоанализаторов ПАО «Иркутскэнерго» в 2020 году;"ПАО ""ИРКУТСКЭНЕРГО""";996081;13.11.2019
1325;Выполнение работ по ремонту систем вентиляции и кондиционирования;"ПАО ""ИРКУТСКЭНЕРГО""";990195;01.11.2019
1326;Выполнение работ по техническому обслуживанию приточно-вытяжной вентиляции на филиале ТЭЦ-6 в г. Братске;"ПАО ""ИРКУТСКЭНЕРГО""";1066330;29.11.2019
1327;Выполнение работ по ремонту ограждения территории НИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";865406;06.11.2019
1328;Услуги по подписке и доставке периодических изданий (газет и журналов) на материальном носителе;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";847367;16.12.2019
1329;"Выполнение строительно-монтажных работ по объекту ""Техническое перевооружение здания ОВК с заменой ограждающих конструкций""";"ПАО ""ИРКУТСКЭНЕРГО""";914752;14.11.2019
1330;Выполнение работ по ремонту стен и потолков лестничного марша башни пересыпа здания главного корпуса Н-И ТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";700000;01.11.2019
1331;Выполнение работ по ремонту по капитальному ремонту помещений;"ПАО ""ИРКУТСКЭНЕРГО""";904996;19.11.2019
1332;Ремонт помещений СОК на территории НИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";499479;06.11.2019
1333;"Оказание услуг по техническому обслуживанию РАС, СТМиС, КИСУ ""Modes-Terminal"", системы звукозаписи диспетчерских переговоров, СПД СОТИАССО для нужд филиала ""Альтернативная энергетика"" ПАО ""Фортум""";"ПАО ""ФОРТУМ""";11504400;09.01.2020
1334;Услуги по подписке и доставке периодических изданий (газет и журналов) в электронном виде;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";146163;16.12.2019
1335;Организация и проведение церемонии награждения работников АО «НТЭК», посвященной Дню энергетика;"АО ""НТЭК""";500000;18.10.2019
1336;"Оказание услуг по техническому обслуживанию систем технологического и охранного видеонаблюдения для нужд филиала ""Альтернативная энергетика"" ПАО ""Фортум""";"ПАО ""ФОРТУМ""";4545600;19.12.2019
1337;Организация и проведение праздничного мероприятия, посвященного Новому 2020 году;"АО ""НТЭК""";950000;18.10.2019
1338;Выполнить строительно-монтажные работы по объекту филиала ПАО «Иркутскэнерго» Ново-Зиминская ТЭЦ: Сухое складирование золошлаковых смесей на секциях № 1 и № 2 золошлакоотвала Н-ЗТЭЦ (со строительством ограждающих валиков), 2 этап.;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";42997417;30.10.2019
1339;Выполнение работ по ремонту ограждающих конструкций в котельном цехе на филиале ТЭЦ-11 в г. Усолье-Сибирское;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";19988414;13.11.2019
1340;Восстановление работоспособного состояния ограждающих конструкций главного корпуса в осях В/1-20 в отм.+24,370 ÷ 39,600м;"ПАО ""ИРКУТСКЭНЕРГО""";19988414;16.10.2019
1341;Выполнить строительно-монтажные работы по объекту филиала ПАО «Иркутскэнерго» Ново-Зиминская ТЭЦ: Сухое складирование золошлаковых смесей на секциях № 1 и № 2 золошлакоотвала Н-ЗТЭЦ (со строительством ограждающих валиков), 1 этап.;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";12579874;30.10.2019
1342;"НИОКР по теме ""Атомистическое моделирование механических и теплофизических свойств и создание библиографической базы данных по термодинамическим свойствам для материалов атомной энергетики""";"Акционерное общество ""Государственный научный центр Российской Федерации Троицкий институт инновационных и термоядерных исследований""";25000000;05.12.2019
1343;"выполнение НИОКР по теме ""Создание широкодиапазонных моделей теплофизических свойств и компьютерных кодов материалов атомной и термоядерной энергетики""";"Акционерное общество ""Государственный научный центр Российской Федерации Троицкий институт инновационных и термоядерных исследований""";21000000;05.12.2019
1344;Выполнение работ по техобслуживанию зданий и сооружений на филиале ТЭЦ -11 в г. Усолье-Сибирское;"ПАО ""ИРКУТСКЭНЕРГО""";9000000;15.11.2019
1345;Оказание услуг по обслуживанию и уборке служебных и производственных помещений, территории Ново-Зиминской ТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";7752679;06.12.2019
1346;Оказание услуг по уборке производственных, административных и бытовых помещений У-ИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";8317027;29.11.2019
1347;Лот №2 Выполнение непредвиденных ремонтно-строительных работы, выявленных при ремонте на электротехническом и тепломеханическом оборудовании;"ПАО ""ИРКУТСКЭНЕРГО""";5000000;08.11.2019
1348;Аварийный ремонт участков тепловых сетей, устранение дефектов,выполнение шурфов в период 10.03.2020 по 28.12.2020 в г.Иркутске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";8000000;20.12.2019
1349;Организация льготного питания для работников ТЭЦ-12;"ПАО ""ИРКУТСКЭНЕРГО""";5568000;25.10.2019
1350;Услуги по подписке и доставке периодических изданий (газет и журналов) на материальном носителе и в электронном виде;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";5416322;13.10.2020
1351;Выполнение работ по техническому обслуживанию зданий и сооружений на филиале У-ИТЭЦ в г. Усть-Илимске;"ПАО ""ИРКУТСКЭНЕРГО""";3979711;29.11.2019
1352;Организация услуг льготного питания под ведомость для персонала Усть-Илимской ТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";3600000;25.10.2019
1353;Услуги по подписке и доставке периодических изданий (газет и журналов) на материальном носителе и в электронном виде;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";5416322;13.11.2019
1354;Выполнение непредвиденных работ и устранение дефектов на оборудовании химического цеха на филиале ТЭЦ-9 в г.Ангарске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";3300000;16.12.2019
1355;Лот №1 Выполнение непредвиденных ремонтно-строительных работ, выявленных при ремонте электротехнического и тепломеханического оборудования на филиале ТЭЦ-6 ТИиТС в г. Братске;"ПАО ""ИРКУТСКЭНЕРГО""";4150000;08.11.2019
1356;Выполнение работ по техническому обслуживанию зданий и сооружений на филиале НЗТЭЦ в г. Саянске;"ПАО ""ИРКУТСКЭНЕРГО""";4500000;22.11.2019
1357;Услуги по зачистке порожних вагонов на ж/д путях Ново-Зиминской ТЭЦ и уборке просыпей угля;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";1451800;17.12.2019
1358;Услуги по обслуживанию тепловозов ТЭЦ-9 -3ед.;"ПАО ""ИРКУТСКЭНЕРГО""";3708769;10.12.2019
1359;Проведение осмотров трубоповодов в шурфе с восстановлением работоспособности оборудования в г.Иркутске в 2020 году;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";3000000;20.12.2019
1360;Выполнение работ по техническому обслуживанию приточно-вытяжной вентиляции на филиале ТЭЦ-6 в г. Братске;"ПАО ""ИРКУТСКЭНЕРГО""";1066330;29.11.2019
1361;Оказание услуг по уборке территории У-ИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";1034463;29.11.2019
1362;"Выполнение строительно-монтажных работ по объекту ""Техническое перевооружение здания ОВК с заменой ограждающих конструкций""";"ПАО ""ИРКУТСКЭНЕРГО""";914752;14.11.2019
1363;Выполнение работ по техническому обслуживанию зданий и сооружений ТВСК на филиале У-ИТЭЦ в г.Усть-Илимске в 2020 г.;"ПАО ""ИРКУТСКЭНЕРГО""";1900985;04.12.2019
1364;Ремонт помещений СОК на территории НИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";499479;06.11.2019
1365;Выполнение строительно-монтажных и пусконаладочных работ по объекту: «Насосно-перекачивающая станция №5А (инв. № 3010026). Техническое перевооружение. Установ-ка ЧРП»;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";2481305;30.10.2019
1366;Услуги по подписке и доставке периодических изданий (газет и журналов) в электронном виде;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";146163;16.12.2019
1367;Выполнение непредвиденных работ и устранение дефектов на оборудовании химического цеха на участке №1 филиала ТЭЦ-9 в г.Ангарске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";1000000;16.12.2019
1368;Оказание услуг по сервисному обслуживанию (в том числе диагностике, замене сенсоров, предповерочной подготовке и поверке) газоанализаторов ПАО «Иркутскэнерго» в 2020 году;"ПАО ""ИРКУТСКЭНЕРГО""";996081;13.11.2019
1369;Выполнение работ по ремонту систем вентиляции и кондиционирования;"ПАО ""ИРКУТСКЭНЕРГО""";990195;01.11.2019
1370;Выполнение работ по ремонту ограждения территории НИТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";865406;06.11.2019
1371;Услуги по подписке и доставке периодических изданий (газет и журналов) на материальном носителе;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";847367;16.12.2019
1372;Выполнение работ по ремонту стен и потолков лестничного марша башни пересыпа здания главного корпуса Н-И ТЭЦ;"ПАО ""ИРКУТСКЭНЕРГО""";700000;01.11.2019
1373;"Оказание услуг по техническому обслуживанию РАС, СТМиС, КИСУ ""Modes-Terminal"", системы звукозаписи диспетчерских переговоров, СПД СОТИАССО для нужд филиала ""Альтернативная энергетика"" ПАО ""Фортум""";"ПАО ""ФОРТУМ""";11504400;09.01.2020
1374;Выполнение работ по ремонту по капитальному ремонту помещений;"ПАО ""ИРКУТСКЭНЕРГО""";904996;19.11.2019
1375;Организация и проведение церемонии награждения работников АО «НТЭК», посвященной Дню энергетика;"АО ""НТЭК""";500000;18.10.2019
1376;"Оказание услуг по техническому обслуживанию систем технологического и охранного видеонаблюдения для нужд филиала ""Альтернативная энергетика"" ПАО ""Фортум""";"ПАО ""ФОРТУМ""";4545600;19.12.2019
1377;Организация и проведение праздничного мероприятия, посвященного Новому 2020 году;"АО ""НТЭК""";950000;18.10.2019
1378;Поставка средств индивидуальной защиты, специальной одежды и специальной обуви, смывающих и обезжиривающих веществ для нужд филиала Альтернативная энергетика ПАО «Фортум» в 2020-2022 гг. (рамочный договор);"ПАО ""ФОРТУМ""";25054759;14.01.2020
1379;Услуги по уборке производственных и служебно-бытовых помещений филиала ТЭЦ-9;"ПАО ""ИРКУТСКЭНЕРГО""";19827456;17.12.2019
1380;Выполнение непредвиденных работ и устранение дефектов на оборудовании ТАИ на филиале ТЭЦ-9 в г.Ангарске;ИРКУТСКОЕ ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ;8300000;23.12.2019
1381;Выполнение непредвиденных работ и устранение дефектов на оборудовании электрического цеха на филиале ТЭЦ-9 в г.Ангарске;ИРКУТСКОЕ ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ;8300000;23.12.2019
1382;Выполнение непредвиденных работ и устранение дефектов на основном и вспомогательном тепломеханическом оборудовании на филиале ТЭЦ-9 в г.Ангарске;ИРКУТСКОЕ ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ;6600000;13.01.2020
1383;Выполнение работ по ремонту оборудования КИПиА на филиале ТЭЦ-9 в г.Ангарске;ИРКУТСКОЕ ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ;6060900;27.01.2020
1384;Выполнение работ по ремонту баков и фильтров ХЦ на филиале НЗТЭЦ в г. Саянске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";12235000;23.12.2019
1385;Выполнение непредвиденных работ и устранение дефектов на оборудовании электрического цеха на участке №1 филиала ТЭЦ-9 в г.Ангарске;ИРКУТСКОЕ ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ;1000000;23.12.2019
1386;Выполнение работ по ремонту и техническому обслуживанию оборудования ХЦ на филиале ТЭЦ-9 в г.Ангарске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";6702782;23.12.2019
1387;Выполнение непредвиденных работ и устранение дефектов на оборудовании ТАИ на участке №1 филиала ТЭЦ-9 в г.Ангарске;ИРКУТСКОЕ ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ;1000000;23.12.2019
1388;Выполнение работ по сборке и разборке лесов при ремонте оборудования на филиале У-ИТЭЦ в г.Усть-Илимске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";7156070;25.12.2019
1389;"Оказание услуг по техническому обслуживанию РАС, СТМиС, КИСУ ""Modes-Terminal"", системы звукозаписи диспетчерских переговоров, СПД СОТИАССО для нужд филиала ""Альтернативная энергетика"" ПАО ""Фортум""";"ПАО ""ФОРТУМ""";11504400;09.01.2020
1390;Выполнение работ по ремонту золоулавливающих установок котлоагрегатов на филиале ТЭЦ-9 в г.Ангарске;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";5693263;24.12.2019
1391;Выполнение работ по техническому обслуживанию зданий и сооружений на филиале У-ИТЭЦ в г. Усть-Илимске;"ПАО ""ИРКУТСКЭНЕРГО""";3979711;20.12.2019
1392;Текущее содержание подъездных железнодорожных путей;"ПАО ""ИРКУТСКЭНЕРГО""";4987077;17.12.2019
1393;Выполнение работ по ремонту ж.д. путей №11 ст. Химическая, №39 ст. Химическая литера IV, №39 ст. Химическая литера III, путь 1-й Западный подход ст. Химическая, №65 ст. Химическая на филиале ТЭЦ-11 г. Усолье-Сибирское;"ПАО ""ИРКУТСКЭНЕРГО""";3696934;23.01.2020
1394;Приобретение технической поддержки для ПО Networker;"Публичное акционерное общество ""ИРКУТСКЭНЕРГО""";4005699;19.12.2019
1395;Выполнение непредвиденных работ по восстановлению благоустройства территории после проведения ремонтов тепловых, водопроводных и канализационных сетей города Усть-Илимска;"ПАО ""ИРКУТСКЭНЕРГО""";3950000;27.12.2019
