;Purchase;Organisation;Price;Date
71;Капитальный ремонт канализации МДОУ «Советский детский сад №37» (два здания) по адресу: Тульская обл., Щекинский район, г. Советск, ул. Энергетиков, д. 28, 30 (размещение заказа производится у субъектов малого предпринимательства);"Муниципальное дошкольное образовательное учреждение ""Советский детский сад № 37""";195 316.69;04.06.2012
72;«Капитальный ремонт подвальной разводки, системы отопления МБОУ СОШ №2 пгт. Усть-Абакан»;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;1 460 000.00;13.06.2012
73;"« Капитальный ремонт спортивного зала МБОУ СОШ №1 п. Усть-Абакан""";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;2 200 000.00;08.06.2012
74;"« Капитальный ремонт спортивного зала МБОУ Райковская СОШ""";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;400 000.00;08.06.2012
75;на право заключить муниципальный контракт на выполнение подрядных работ по проведению технической инвентаризации и изготовление технических паспортов на муниципальное имущество, находящееся в собственности Усть-Камчатского сельского поселения в целях реализации МЦП «Формирование муниципальной собственности и разработка документов территориального планирования в Усть-Камчатском сельском поселении в 2012 году»;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;678 000.00;04.06.2012
76;«Капитальный ремонт столовой МБОУ Солнечная СОШ»;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;756 000.00;04.06.2012
77;«Капитальный ремонт столовой МБОУ Райковская СОШ»;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;900 000.00;07.06.2012
78;право заключения муниципального контракта на выполнение лабораторных исследований и изысканий, санитарно-эпидемиологических исследований, оценок для разработки проектной документации инженерной инфраструктуры северо-западного района пгт. Усть-Абакан, Усть-Абаканского района, Республики Хакасия;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;499 000.00;04.06.2012
79;"« Капитальный ремонт спортивного зала МБОУ СОШ №1 п. Усть-Абакан""";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;2 200 000.00;07.06.2012
80;"« Капитальный ремонт спортивного зала МБОУ Райковская СОШ""";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;400 000.00;04.06.2012
81;"« Капитальный ремонт кровли здания МБОУ «Усть-Бюрская СОШ""";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;3 500 000.00;18.06.2012
82;Выполнение работ по ремонту жилого помещения (квартиры № 35) многоквартирного дома, расположенного по адресу: г. Новосибирск, ул. Лермонтова, 43.;Департамент энергетики, жилищного и коммунального хозяйства города;106 118.04;01.06.2012
83;Выполнение работ по осуществлению перевозок пассажиров и багажа по муниципальному городскому автобусному маршруту № 24 Миасского городского округа;Администрация Миасского городского округа;656 600.00;01.06.2012
84;Оказание услуг по содержанию детских площадок и устранению дефектов и неисправностей игрового оборудования на детских площадках, расположенных на территории микрорайона Восточный и пос. Энергетиков муниципального образования город Нягань.;Администрация муниципального образования город Нягань;135 115.00;04.06.2012
85;Ремонт электрооборудования по адресу: г. Дедовск, ул. Энергетиков, д. 26(Муниципальный заказчик - Администрация городского поселения Дедовск);Администрация Истринского муниципального района Московской области;266 384.33;31.05.2012
86;"Капитальный ремонт подвальной разводки, системы отопления МБОУ СОШ №2 п. Усть-Абакан""";Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;1 345 000.00;01.06.2012
87;на право заключения муниципального контракта на выполнение подрядных работ по ремонту кровли из наплавляемого материала здания муниципального казенного учреждения «Усть- Камчатский Центр культуры и досуга» п. Усть – Камчатск, Усть- Камчатского района, Камчатского края;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;3 000 000.00;31.05.2012
88;"Организация строительства по переводу котельных на газовое топливо по объекту: Строительство котельной ""СДК"" с. Чинеке, Вилюйский улус";"Государственное казенное учреждение Республики Саха (Якутия) ""Дирекция по реконструкции и строительству объектов жилищно-коммунального хозяйства и энергетики""";17 834 754.00;18.06.2012
89;Выполнение работ по реконструкции наружного освещения квартала 4, Гражданка (Гжатская ул. – ул. Фаворского – Гражданский пр. – пр. Непокоренных) в 2012 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;6 132 276.00;25.06.2012
